Numer_zgloszenia	Numer_komputera	Czas_awarii	Priorytet
53	327	2015-01-11 09:57:55	4
54	397	2015-01-11 12:57:58	3
55	341	2015-01-11 18:13:17	10
56	404	2015-01-12 03:17:06	8
57	81	2015-01-12 15:34:17	3
58	5	2015-01-12 18:16:15	6
59	367	2015-01-12 22:20:49	10
60	389	2015-01-13 01:57:49	5
61	286	2015-01-13 02:03:04	1
62	55	2015-01-13 07:42:46	3
63	151	2015-01-13 09:21:18	6
64	404	2015-01-13 12:10:46	5
65	89	2015-01-13 16:26:07	5
66	3	2015-01-13 17:32:54	9
67	478	2015-01-14 02:53:29	3
68	474	2015-01-14 06:00:16	4
69	373	2015-01-14 06:19:56	10
70	261	2015-01-14 11:27:32	3
71	30	2015-01-15 05:50:27	8
72	241	2015-01-15 09:06:04	5
73	211	2015-01-15 11:14:32	10
74	213	2015-01-15 20:34:40	6
75	249	2015-01-15 20:38:46	3
76	2	2015-01-16 02:35:21	1
77	256	2015-01-16 03:00:36	4
78	466	2015-01-16 19:29:45	4
79	111	2015-01-17 01:49:30	3
80	55	2015-01-17 04:52:40	1
81	454	2015-01-17 10:21:07	7
82	333	2015-01-17 14:10:15	9
83	92	2015-01-17 14:32:17	5
84	328	2015-01-17 18:44:21	5
85	397	2015-01-18 04:11:45	6
86	253	2015-01-18 06:18:26	9
87	83	2015-01-18 08:21:18	7
88	482	2015-01-18 13:09:29	7
89	437	2015-01-18 16:26:28	10
90	113	2015-01-19 03:19:43	1
91	310	2015-01-19 07:05:46	8
92	434	2015-01-19 07:11:24	5
93	186	2015-01-19 08:03:16	2
94	63	2015-01-19 19:24:31	2
95	451	2015-01-19 19:54:19	7
96	223	2015-01-19 20:10:39	3
97	480	2015-01-19 21:12:13	10
98	73	2015-01-19 22:34:08	1
99	272	2015-01-20 04:14:50	10
100	461	2015-01-20 07:19:37	9
101	248	2015-01-20 21:21:11	1
102	300	2015-01-20 22:35:22	9
103	438	2015-01-20 22:54:42	2
104	256	2015-01-21 02:13:03	10
105	84	2015-01-21 03:24:21	8
106	79	2015-01-21 05:30:34	3
107	472	2015-01-21 10:59:25	3
108	107	2015-01-21 11:22:33	9
109	420	2015-01-21 13:39:43	10
110	32	2015-01-21 18:41:07	7
111	390	2015-01-21 21:07:57	2
112	312	2015-01-21 22:04:55	2
113	470	2015-01-22 05:27:35	7
114	436	2015-01-22 09:56:25	10
115	192	2015-01-22 15:00:36	3
116	349	2015-01-22 20:07:49	8
117	256	2015-01-23 09:33:17	3
118	219	2015-01-23 10:14:45	5
119	343	2015-01-23 16:51:27	9
120	246	2015-01-23 18:16:25	8
121	249	2015-01-23 22:03:13	3
122	485	2015-01-24 00:47:00	8
123	200	2015-01-24 02:30:15	10
124	237	2015-01-24 07:02:27	10
125	360	2015-01-24 09:30:01	9
126	349	2015-01-24 18:32:56	10
127	232	2015-01-24 20:50:54	5
128	189	2015-01-24 21:26:55	6
129	324	2015-01-25 10:43:08	2
130	449	2015-01-25 10:59:04	6
131	205	2015-01-26 02:53:38	1
132	28	2015-01-26 04:33:12	10
133	134	2015-01-26 07:27:27	1
134	302	2015-01-26 07:49:38	7
135	138	2015-01-26 08:28:54	8
136	66	2015-01-26 08:33:27	1
137	115	2015-01-26 09:18:04	3
138	377	2015-01-26 10:14:30	6
139	247	2015-01-26 12:07:12	4
140	14	2015-01-26 17:42:00	7
141	433	2015-01-26 21:05:37	9
142	220	2015-01-27 06:02:45	7
143	433	2015-01-27 09:04:23	1
144	260	2015-01-27 12:10:05	6
145	214	2015-01-27 17:00:43	8
146	266	2015-01-27 20:48:48	9
147	231	2015-01-28 00:32:44	6
148	190	2015-01-28 12:39:14	2
149	175	2015-01-28 18:18:48	9
150	171	2015-01-29 02:27:23	5
151	480	2015-01-29 04:37:59	3
152	223	2015-01-29 07:50:20	9
153	299	2015-01-29 13:05:47	10
154	61	2015-01-29 16:03:34	3
155	38	2015-01-29 17:40:07	7
156	214	2015-01-29 18:18:04	8
157	388	2015-01-29 23:49:19	10
158	103	2015-01-30 05:32:36	4
159	426	2015-01-30 08:45:03	2
160	340	2015-01-30 10:10:36	4
161	38	2015-01-30 12:54:59	1
162	62	2015-01-30 13:01:54	7
163	326	2015-01-30 13:29:52	5
164	428	2015-01-30 16:41:04	3
165	102	2015-01-30 16:51:24	7
166	60	2015-01-30 19:40:25	4
167	323	2015-01-31 01:45:22	7
168	244	2015-01-31 02:53:20	7
169	210	2015-01-31 09:48:04	3
170	39	2015-01-31 17:19:41	9
171	452	2015-01-31 17:38:49	6
172	190	2015-01-31 17:39:10	2
173	494	2015-01-31 18:29:54	2
174	255	2015-01-31 18:57:25	2
175	239	2015-01-31 21:46:33	7
176	99	2015-01-31 21:59:36	3
177	331	2015-02-01 01:00:17	2
178	231	2015-02-01 01:39:00	3
179	193	2015-02-01 06:43:56	3
180	125	2015-02-01 08:38:47	9
181	16	2015-02-01 10:16:58	8
182	265	2015-02-01 12:58:43	4
183	286	2015-02-01 15:19:25	4
184	367	2015-02-01 22:39:17	9
185	154	2015-02-01 23:38:13	1
186	349	2015-02-02 11:24:05	9
187	19	2015-02-02 12:45:04	6
188	283	2015-02-02 18:22:59	6
189	269	2015-02-02 23:28:22	7
190	127	2015-02-03 04:27:21	9
191	408	2015-02-03 07:04:06	7
192	91	2015-02-03 08:08:35	1
193	187	2015-02-03 19:37:33	8
194	303	2015-02-03 20:59:53	5
195	200	2015-02-03 21:03:49	4
196	349	2015-02-04 00:19:46	8
197	39	2015-02-04 05:24:31	3
198	2	2015-02-04 10:40:35	4
199	99	2015-02-04 11:17:30	6
200	332	2015-02-04 18:09:43	7
201	199	2015-02-04 23:44:31	6
202	52	2015-02-05 00:54:00	2
203	268	2015-02-05 05:22:43	10
204	6	2015-02-05 14:57:23	4
205	32	2015-02-05 15:45:44	4
206	190	2015-02-06 08:40:10	1
207	40	2015-02-06 09:17:30	2
208	271	2015-02-06 16:37:03	2
209	338	2015-02-06 16:59:55	9
210	109	2015-02-06 19:11:19	9
211	55	2015-02-06 22:41:03	3
212	92	2015-02-07 01:46:02	5
213	360	2015-02-07 03:22:47	8
214	115	2015-02-07 03:36:49	7
215	238	2015-02-07 07:59:58	5
216	483	2015-02-07 08:54:43	5
217	32	2015-02-07 21:22:43	10
218	348	2015-02-08 01:04:36	9
219	428	2015-02-08 06:30:36	5
220	66	2015-02-08 09:29:42	5
221	477	2015-02-08 10:00:25	5
222	127	2015-02-08 13:23:40	10
223	2	2015-02-08 13:59:09	1
224	387	2015-02-08 14:04:36	6
225	161	2015-02-08 16:37:58	3
226	367	2015-02-08 17:20:10	3
227	82	2015-02-09 01:59:21	1
228	387	2015-02-09 03:50:23	6
229	116	2015-02-09 10:12:30	4
230	207	2015-02-09 14:36:30	2
231	90	2015-02-10 01:06:31	3
232	99	2015-02-10 03:54:28	4
233	165	2015-02-10 10:13:19	8
234	143	2015-02-10 12:15:22	7
235	53	2015-02-11 02:26:37	5
236	370	2015-02-11 10:57:41	7
237	79	2015-02-11 14:55:18	6
238	387	2015-02-11 17:18:51	8
239	364	2015-02-11 18:31:45	6
240	333	2015-02-11 21:14:38	6
241	139	2015-02-11 23:37:16	3
242	12	2015-02-12 04:21:29	9
243	139	2015-02-12 08:38:32	6
244	264	2015-02-12 09:54:21	9
245	4	2015-02-12 21:27:49	8
246	43	2015-02-13 02:16:34	1
247	60	2015-02-13 07:12:48	8
248	74	2015-02-13 14:42:04	9
249	75	2015-02-13 15:05:45	1
250	77	2015-02-13 15:06:56	5
251	271	2015-02-13 18:30:12	5
252	480	2015-02-13 18:51:17	10
253	230	2015-02-14 01:10:34	2
254	51	2015-02-14 04:56:30	8
255	140	2015-02-14 05:15:57	3
256	256	2015-02-14 05:16:57	4
257	43	2015-02-14 12:08:25	4
258	231	2015-02-14 12:49:05	3
259	59	2015-02-14 13:00:19	4
260	33	2015-02-14 16:16:42	1
261	129	2015-02-14 17:24:34	8
262	442	2015-02-14 18:26:25	10
263	367	2015-02-14 23:01:54	9
264	5	2015-02-14 23:45:29	9
265	259	2015-02-15 07:31:36	6
266	118	2015-02-15 12:43:35	9
267	301	2015-02-15 18:17:53	6
268	22	2015-02-16 01:08:32	9
269	289	2015-02-16 02:33:06	6
270	442	2015-02-16 05:36:38	7
271	297	2015-02-16 11:19:31	9
272	28	2015-02-16 15:41:27	10
273	5	2015-02-16 15:59:19	9
274	395	2015-02-16 21:34:49	2
275	374	2015-02-17 03:37:53	2
276	88	2015-02-17 16:10:54	6
277	183	2015-02-17 18:47:30	7
278	322	2015-02-17 23:30:32	1
279	15	2015-02-18 02:58:24	5
280	474	2015-02-18 08:29:42	1
281	371	2015-02-18 08:42:42	4
282	56	2015-02-18 08:43:45	5
283	492	2015-02-18 10:07:02	2
284	5	2015-02-18 10:40:55	8
285	224	2015-02-18 10:52:18	1
286	188	2015-02-18 12:12:21	8
287	140	2015-02-18 14:14:53	4
288	444	2015-02-18 19:38:31	7
289	28	2015-02-18 19:42:32	9
290	356	2015-02-18 21:41:12	6
291	445	2015-02-19 03:12:49	5
292	77	2015-02-19 08:33:02	2
293	142	2015-02-19 09:10:22	6
294	475	2015-02-19 13:13:40	2
295	113	2015-02-19 14:03:53	8
296	43	2015-02-19 14:40:28	7
297	221	2015-02-19 14:44:53	7
298	157	2015-02-19 14:52:48	3
299	393	2015-02-19 22:12:37	2
300	325	2015-02-19 22:57:04	7
301	222	2015-02-19 23:08:49	9
302	489	2015-02-20 08:50:34	4
303	193	2015-02-20 09:29:28	3
304	4	2015-02-20 10:17:05	7
305	115	2015-02-20 12:26:24	5
306	202	2015-02-20 18:59:55	4
307	177	2015-02-21 10:41:17	7
308	334	2015-02-21 17:46:00	1
309	260	2015-02-21 18:26:49	4
310	50	2015-02-21 20:10:57	5
311	180	2015-02-21 20:20:01	10
312	362	2015-02-21 20:26:48	8
313	438	2015-02-21 21:50:02	7
314	420	2015-02-22 06:41:42	10
315	240	2015-02-22 08:50:52	2
316	444	2015-02-22 10:46:22	2
317	496	2015-02-22 14:10:38	2
318	455	2015-02-22 14:14:04	2
319	22	2015-02-22 15:05:24	3
320	29	2015-02-22 15:09:53	6
321	274	2015-02-22 18:30:50	10
322	254	2015-02-22 20:47:31	2
323	248	2015-02-22 21:06:57	9
324	436	2015-02-22 22:53:34	4
325	94	2015-02-22 23:19:42	3
326	134	2015-02-23 03:20:27	3
327	169	2015-02-24 00:19:25	6
328	358	2015-02-24 04:58:30	7
329	431	2015-02-24 06:12:24	6
330	271	2015-02-24 12:47:07	5
331	198	2015-02-24 12:49:44	8
332	63	2015-02-24 18:59:17	1
333	189	2015-02-24 22:28:01	5
334	113	2015-02-25 02:22:00	10
335	111	2015-02-25 05:46:08	1
336	466	2015-02-25 06:01:06	3
337	432	2015-02-25 06:28:25	4
338	325	2015-02-25 07:04:20	6
339	477	2015-02-25 07:15:03	3
340	60	2015-02-25 10:36:41	5
341	22	2015-02-25 10:46:20	7
342	229	2015-02-25 10:52:45	8
343	400	2015-02-25 16:30:20	2
344	172	2015-02-25 18:22:07	5
345	323	2015-02-26 04:28:07	10
346	28	2015-02-26 10:14:53	8
347	264	2015-02-27 07:04:39	9
348	176	2015-02-27 08:51:49	10
349	113	2015-02-27 13:19:40	9
350	8	2015-02-27 16:02:07	3
351	55	2015-02-27 18:44:09	2
352	466	2015-02-27 19:30:52	2
353	91	2015-02-27 21:20:13	7
354	247	2015-02-28 01:34:53	7
355	228	2015-02-28 03:02:05	2
356	391	2015-02-28 04:25:03	6
357	177	2015-02-28 07:19:30	4
358	217	2015-02-28 11:16:59	10
359	74	2015-02-28 17:25:22	2
360	75	2015-02-28 18:28:24	6
361	78	2015-02-28 18:29:55	2
362	177	2015-02-28 19:54:16	8
363	47	2015-03-01 02:44:55	7
364	320	2015-03-01 06:03:35	2
365	496	2015-03-01 07:38:49	8
366	127	2015-03-01 08:50:15	1
367	396	2015-03-01 12:01:13	10
368	84	2015-03-01 13:06:30	9
369	275	2015-03-01 13:30:44	2
370	483	2015-03-01 13:42:45	1
371	71	2015-03-01 14:23:46	9
372	394	2015-03-01 21:27:45	8
373	489	2015-03-01 22:47:29	5
374	176	2015-03-01 23:20:27	5
375	13	2015-03-02 00:57:06	10
376	246	2015-03-02 01:32:57	6
377	383	2015-03-02 06:41:01	10
378	356	2015-03-02 10:39:07	2
379	72	2015-03-02 23:22:38	8
380	279	2015-03-03 02:25:51	7
381	144	2015-03-03 04:57:36	7
382	494	2015-03-03 10:48:26	10
383	64	2015-03-03 11:42:44	9
384	128	2015-03-03 15:12:50	9
385	432	2015-03-04 02:56:46	8
386	368	2015-03-04 13:00:48	7
387	367	2015-03-04 15:23:19	4
388	291	2015-03-04 18:27:15	9
389	183	2015-03-04 19:30:50	9
390	489	2015-03-04 20:47:30	2
391	48	2015-03-04 23:31:00	8
392	479	2015-03-05 01:55:36	7
393	140	2015-03-05 03:26:47	5
394	387	2015-03-05 06:50:05	7
395	13	2015-03-05 06:55:01	10
396	22	2015-03-05 11:48:38	3
397	14	2015-03-05 12:57:17	5
398	438	2015-03-05 13:12:35	9
399	385	2015-03-06 02:26:51	4
400	283	2015-03-06 02:47:10	8
401	434	2015-03-06 03:16:25	1
402	165	2015-03-06 08:51:51	2
403	82	2015-03-06 09:22:26	6
404	254	2015-03-06 14:35:00	3
405	48	2015-03-06 15:07:15	10
406	130	2015-03-06 21:53:34	2
407	118	2015-03-07 12:52:41	8
408	191	2015-03-07 12:54:59	2
409	198	2015-03-07 17:49:16	3
410	459	2015-03-08 04:54:34	1
411	236	2015-03-08 07:01:32	2
412	16	2015-03-08 08:11:59	7
413	84	2015-03-08 09:31:37	8
414	259	2015-03-08 09:47:52	8
415	337	2015-03-08 10:18:12	8
416	464	2015-03-08 14:17:32	3
417	443	2015-03-08 14:25:28	3
418	337	2015-03-08 15:07:52	6
419	64	2015-03-08 15:10:55	2
420	376	2015-03-08 17:53:56	4
421	311	2015-03-08 18:40:11	2
422	130	2015-03-08 22:20:32	6
423	340	2015-03-08 23:24:46	5
424	497	2015-03-09 01:20:40	6
425	288	2015-03-09 03:18:46	2
426	444	2015-03-09 15:14:49	5
427	265	2015-03-09 18:16:48	4
428	219	2015-03-09 18:24:28	1
429	369	2015-03-09 19:45:26	1
430	162	2015-03-10 04:10:27	8
431	227	2015-03-10 04:56:38	8
432	222	2015-03-10 05:02:51	9
433	480	2015-03-10 11:43:34	7
434	39	2015-03-10 12:05:44	4
435	462	2015-03-10 14:18:13	4
436	183	2015-03-10 14:46:58	10
437	434	2015-03-10 17:38:30	5
438	50	2015-03-10 21:36:46	3
439	65	2015-03-11 05:10:43	3
440	63	2015-03-11 06:38:21	10
441	427	2015-03-11 07:43:43	3
442	161	2015-03-11 19:45:23	2
443	248	2015-03-11 21:52:22	7
444	425	2015-03-11 23:26:37	1
445	271	2015-03-12 01:13:07	8
446	127	2015-03-12 04:40:21	2
447	465	2015-03-12 06:59:55	10
448	289	2015-03-12 07:58:55	3
449	78	2015-03-12 08:23:57	6
450	84	2015-03-12 08:40:46	6
451	97	2015-03-12 08:50:48	3
452	43	2015-03-12 18:25:46	3
453	286	2015-03-12 19:58:30	4
454	116	2015-03-13 05:37:30	10
455	383	2015-03-13 07:46:02	2
456	161	2015-03-13 18:19:57	4
457	39	2015-03-14 01:37:47	8
458	285	2015-03-14 03:56:28	10
459	141	2015-03-14 06:23:24	6
460	33	2015-03-14 10:53:59	5
461	353	2015-03-14 13:58:52	1
462	52	2015-03-14 21:19:28	7
463	121	2015-03-15 17:40:14	6
464	88	2015-03-16 00:49:55	4
465	459	2015-03-16 00:59:55	3
466	480	2015-03-16 07:14:01	7
467	123	2015-03-16 09:43:01	3
468	466	2015-03-16 14:15:54	5
469	236	2015-03-16 16:03:58	1
470	267	2015-03-16 17:09:53	4
471	470	2015-03-16 22:07:13	6
472	242	2015-03-16 22:17:20	5
473	315	2015-03-17 00:28:29	8
474	392	2015-03-17 00:41:50	1
475	304	2015-03-17 01:22:40	4
476	417	2015-03-17 05:38:40	10
477	199	2015-03-17 11:13:09	4
478	413	2015-03-17 12:45:02	5
479	352	2015-03-17 13:33:11	6
480	232	2015-03-17 15:29:27	3
481	142	2015-03-17 16:08:57	10
482	278	2015-03-17 16:14:36	3
483	306	2015-03-17 16:57:02	10
484	451	2015-03-17 16:59:04	2
485	222	2015-03-17 21:38:44	6
486	406	2015-03-18 01:11:56	9
487	101	2015-03-18 17:17:54	4
488	24	2015-03-18 17:39:14	6
489	193	2015-03-18 19:52:05	2
490	156	2015-03-19 02:50:00	3
491	5	2015-03-19 04:13:33	1
492	481	2015-03-19 08:38:52	10
493	348	2015-03-19 16:20:16	2
494	339	2015-03-19 19:58:33	1
495	406	2015-03-20 02:04:41	6
496	459	2015-03-20 08:51:54	3
497	123	2015-03-20 17:17:35	2
498	217	2015-03-20 19:58:38	7
499	334	2015-03-20 20:09:27	8
500	101	2015-03-21 07:03:33	2
501	53	2015-03-21 08:33:45	9
502	401	2015-03-21 14:04:48	5
503	465	2015-03-21 14:08:57	4
504	278	2015-03-21 14:45:11	4
505	265	2015-03-21 18:03:04	3
506	487	2015-03-21 18:45:14	5
507	111	2015-03-21 19:06:47	8
508	227	2015-03-21 21:47:13	7
509	244	2015-03-21 22:49:39	8
510	47	2015-03-22 02:02:09	1
511	277	2015-03-22 02:05:49	2
512	14	2015-03-22 05:18:19	2
513	140	2015-03-22 06:00:58	6
514	243	2015-03-22 14:17:02	2
515	151	2015-03-23 03:27:41	5
516	171	2015-03-23 06:32:55	6
517	487	2015-03-23 06:45:14	1
518	463	2015-03-23 08:50:27	6
519	449	2015-03-23 13:40:15	9
520	444	2015-03-23 18:54:41	6
521	334	2015-03-23 18:55:39	7
522	456	2015-03-23 19:50:28	7
523	244	2015-03-23 20:21:24	7
524	163	2015-03-24 00:42:39	5
525	464	2015-03-24 01:41:13	3
526	21	2015-03-24 06:48:41	5
527	3	2015-03-24 06:50:59	7
528	47	2015-03-24 11:58:55	10
529	432	2015-03-24 12:09:15	4
530	127	2015-03-24 13:44:30	5
531	40	2015-03-24 14:44:24	2
532	437	2015-03-24 17:32:32	2
533	232	2015-03-24 18:06:28	9
534	452	2015-03-24 18:16:22	5
535	354	2015-03-25 06:23:54	8
536	145	2015-03-25 07:02:42	3
537	422	2015-03-25 11:51:27	5
538	443	2015-03-25 12:48:56	6
539	493	2015-03-25 15:50:02	1
540	276	2015-03-25 16:25:25	2
541	248	2015-03-25 20:03:18	4
542	188	2015-03-26 01:38:54	2
543	272	2015-03-26 01:46:27	7
544	177	2015-03-26 02:03:14	9
545	267	2015-03-26 02:09:07	5
546	123	2015-03-26 04:00:41	2
547	231	2015-03-26 04:09:05	8
548	282	2015-03-26 06:07:27	4
549	497	2015-03-26 09:01:04	8
550	300	2015-03-26 09:04:09	4
551	152	2015-03-26 12:20:07	9
552	28	2015-03-26 12:31:20	10
553	481	2015-03-26 13:56:41	2
554	343	2015-03-26 19:05:56	9
555	77	2015-03-27 04:50:57	1
556	47	2015-03-27 05:50:32	5
557	109	2015-03-27 19:59:41	1
558	153	2015-03-27 19:59:42	1
559	465	2015-03-28 08:32:49	9
560	119	2015-03-28 10:34:16	1
561	493	2015-03-28 11:24:10	2
562	2	2015-03-28 11:31:51	2
563	283	2015-03-28 13:19:54	6
564	166	2015-03-28 18:59:15	8
565	407	2015-03-29 01:06:05	3
566	340	2015-03-29 07:33:36	9
567	300	2015-03-29 12:39:01	3
568	389	2015-03-29 14:31:56	2
569	47	2015-03-29 16:36:23	3
570	156	2015-03-29 20:30:10	7
571	372	2015-03-29 22:06:26	6
572	400	2015-03-30 03:01:33	2
573	7	2015-03-30 04:51:55	6
574	232	2015-03-30 04:57:45	4
575	300	2015-03-30 07:42:42	4
576	164	2015-03-30 09:22:47	5
577	183	2015-03-30 13:12:56	1
578	83	2015-03-30 15:39:10	5
579	82	2015-03-30 15:39:21	1
580	434	2015-03-30 20:12:40	4
581	202	2015-03-30 21:12:29	2
582	177	2015-03-30 22:45:40	3
583	442	2015-03-31 01:01:37	9
584	304	2015-03-31 06:13:55	1
585	352	2015-03-31 09:35:00	3
586	332	2015-03-31 12:22:36	3
587	195	2015-03-31 15:34:02	10
588	474	2015-03-31 18:39:14	10
589	50	2015-04-01 00:09:35	2
590	475	2015-04-01 00:27:39	9
591	279	2015-04-01 10:25:04	9
592	15	2015-04-01 15:22:12	10
593	316	2015-04-01 17:42:20	10
594	86	2015-04-01 19:57:19	8
595	276	2015-04-01 22:09:47	9
596	275	2015-04-01 22:32:11	9
597	479	2015-04-01 23:52:30	8
598	226	2015-04-02 07:44:41	1
599	124	2015-04-02 07:45:29	1
600	303	2015-04-02 11:14:05	5
601	358	2015-04-02 11:39:24	5
602	248	2015-04-02 18:07:49	8
603	212	2015-04-03 00:16:02	6
604	366	2015-04-03 04:25:36	4
605	66	2015-04-03 05:33:23	6
606	367	2015-04-03 20:09:40	4
607	168	2015-04-03 20:44:30	2
608	310	2015-04-03 22:07:56	9
609	236	2015-04-03 23:55:19	3
610	255	2015-04-04 00:43:23	1
611	409	2015-04-04 03:48:39	2
612	224	2015-04-04 05:31:51	3
613	154	2015-04-04 11:45:09	4
614	219	2015-04-04 15:21:38	2
615	437	2015-04-04 16:16:05	9
616	485	2015-04-04 16:30:30	6
617	456	2015-04-04 16:58:35	3
618	302	2015-04-04 17:03:31	8
619	98	2015-04-05 02:43:10	1
620	89	2015-04-05 16:14:07	10
621	59	2015-04-05 20:33:18	6
622	102	2015-04-06 00:16:54	3
623	421	2015-04-06 00:32:34	9
624	30	2015-04-06 04:56:11	6
625	8	2015-04-06 05:19:57	3
626	159	2015-04-06 07:26:33	2
627	424	2015-04-06 09:50:54	8
628	425	2015-04-06 11:05:06	1
629	79	2015-04-06 12:36:24	5
630	327	2015-04-06 15:51:13	8
631	304	2015-04-07 00:22:20	3
632	240	2015-04-07 02:16:02	2
633	310	2015-04-07 10:34:33	6
634	54	2015-04-07 12:40:58	5
635	219	2015-04-07 14:42:56	4
636	220	2015-04-07 20:21:26	3
637	404	2015-04-07 22:36:23	5
638	66	2015-04-08 00:46:34	7
639	250	2015-04-08 05:46:39	3
640	404	2015-04-08 06:13:28	9
641	120	2015-04-08 06:26:52	9
642	378	2015-04-08 06:43:30	9
643	251	2015-04-08 07:10:46	3
644	271	2015-04-08 20:21:58	7
645	466	2015-04-09 00:59:29	2
646	84	2015-04-09 01:51:59	4
647	1	2015-04-09 05:02:15	5
648	436	2015-04-09 08:19:26	5
649	276	2015-04-09 11:02:05	2
650	482	2015-04-09 12:48:52	5
651	322	2015-04-09 13:23:13	10
652	267	2015-04-09 16:03:49	10
653	249	2015-04-09 16:20:42	6
654	498	2015-04-09 17:13:36	8
655	465	2015-04-09 19:54:28	5
656	341	2015-04-09 22:27:28	2
657	266	2015-04-10 03:14:17	9
658	445	2015-04-10 03:30:16	1
659	314	2015-04-10 06:20:04	1
660	222	2015-04-10 08:09:46	1
661	382	2015-04-10 11:31:24	9
662	186	2015-04-10 14:25:12	7
663	132	2015-04-10 22:35:48	8
664	214	2015-04-11 09:50:05	3
665	224	2015-04-11 13:00:51	5
666	4	2015-04-11 16:09:25	1
667	162	2015-04-11 23:04:26	9
668	495	2015-04-11 23:20:31	4
669	24	2015-04-12 04:40:11	7
670	347	2015-04-12 09:33:59	1
671	213	2015-04-12 22:19:43	4
672	64	2015-04-12 23:17:44	5
673	466	2015-04-12 23:25:03	6
674	253	2015-04-13 02:13:50	6
675	335	2015-04-13 02:20:04	4
676	445	2015-04-13 06:44:06	10
677	406	2015-04-13 10:49:52	8
678	426	2015-04-13 14:17:34	6
679	372	2015-04-13 14:21:29	8
680	298	2015-04-13 16:36:10	3
681	294	2015-04-13 23:02:30	6
682	417	2015-04-14 01:30:41	6
683	404	2015-04-14 03:44:27	5
684	232	2015-04-14 05:43:07	9
685	162	2015-04-14 07:08:14	10
686	223	2015-04-14 10:58:41	6
687	143	2015-04-14 13:57:56	10
688	95	2015-04-14 18:46:19	2
689	288	2015-04-14 23:47:52	1
690	102	2015-04-15 00:11:46	8
691	193	2015-04-15 01:18:42	6
692	366	2015-04-15 04:56:52	2
693	496	2015-04-15 06:20:02	2
694	245	2015-04-15 16:25:10	8
695	377	2015-04-15 18:22:01	4
696	2	2015-04-15 22:13:52	3
697	469	2015-04-16 09:09:03	1
698	144	2015-04-16 12:29:36	9
699	298	2015-04-16 13:13:56	10
700	111	2015-04-16 13:20:21	6
701	159	2015-04-16 16:00:35	7
702	467	2015-04-16 18:41:25	5
703	30	2015-04-16 19:54:22	4
704	262	2015-04-17 00:57:57	1
705	151	2015-04-17 01:12:47	2
706	382	2015-04-17 04:03:15	6
707	191	2015-04-17 04:47:44	2
708	91	2015-04-17 05:03:33	4
709	191	2015-04-17 05:21:18	2
710	10	2015-04-17 18:18:27	3
711	461	2015-04-17 20:58:46	10
712	177	2015-04-17 21:00:15	4
713	225	2015-04-17 22:20:51	10
714	144	2015-04-17 23:12:58	5
715	389	2015-04-18 02:09:49	7
716	395	2015-04-18 05:49:00	8
717	71	2015-04-18 14:24:27	5
718	55	2015-04-18 17:26:42	2
719	237	2015-04-18 17:34:33	7
720	144	2015-04-18 18:32:09	5
721	201	2015-04-18 20:03:56	3
722	226	2015-04-18 20:39:08	6
723	228	2015-04-18 22:25:01	2
724	77	2015-04-19 02:38:40	7
725	130	2015-04-19 03:25:04	7
726	187	2015-04-19 10:20:46	2
727	112	2015-04-19 12:50:40	8
728	480	2015-04-19 17:10:07	9
729	238	2015-04-19 18:10:01	6
730	269	2015-04-19 18:33:15	5
731	155	2015-04-19 19:03:52	6
732	95	2015-04-19 23:02:16	7
733	463	2015-04-19 23:49:53	8
