Numer_zgloszenia	Czas_naprawy	Rodzaj
93	2015-01-19 13:59:15	restart
72	2015-01-19 15:16:33	restart
61	2015-01-19 15:20:29	wymiana
84	2015-01-19 15:27:59	wymiana
60	2015-01-19 15:53:52	restart
91	2015-01-19 18:42:04	restart
67	2015-01-20 00:39:57	restart
64	2015-01-20 00:52:32	restart
86	2015-01-20 06:44:50	restart
99	2015-01-20 14:40:58	wymiana
65	2015-01-20 14:44:39	wymiana
69	2015-01-20 16:58:56	wymiana
102	2015-01-21 03:56:29	restart
83	2015-01-21 10:38:54	restart
88	2015-01-21 13:07:09	restart
88	2015-01-22 02:34:08	wymiana
104	2015-01-22 05:12:29	restart
74	2015-01-22 06:42:21	wymiana
92	2015-01-22 10:40:51	restart
89	2015-01-22 12:02:42	restart
109	2015-01-22 17:29:08	restart
100	2015-01-22 21:31:20	restart
116	2015-01-22 22:22:17	restart
116	2015-01-23 01:37:15	wymiana
107	2015-01-23 02:17:46	restart
90	2015-01-23 03:04:31	restart
81	2015-01-23 05:15:29	restart
117	2015-01-23 12:49:28	wymiana
117	2015-01-23 13:42:34	wymiana
116	2015-01-23 14:20:22	restart
82	2015-01-23 14:44:14	wymiana
92	2015-01-23 14:57:04	wymiana
78	2015-01-23 15:44:09	wymiana
117	2015-01-23 18:30:16	wymiana
92	2015-01-23 19:25:39	wymiana
115	2015-01-23 23:32:46	wymiana
92	2015-01-24 04:51:37	restart
87	2015-01-24 08:29:58	wymiana
98	2015-01-24 09:29:52	restart
94	2015-01-24 09:36:12	restart
115	2015-01-24 09:41:40	restart
122	2015-01-24 10:53:57	wymiana
116	2015-01-24 13:12:56	wymiana
113	2015-01-24 14:01:38	wymiana
95	2015-01-24 14:49:20	restart
125	2015-01-24 18:05:18	restart
111	2015-01-24 19:12:05	restart
107	2015-01-24 21:10:01	restart
106	2015-01-24 23:25:50	restart
112	2015-01-24 23:50:49	restart
101	2015-01-25 01:15:22	wymiana
110	2015-01-25 03:21:34	wymiana
125	2015-01-25 04:57:25	restart
97	2015-01-25 06:38:14	restart
91	2015-01-25 07:38:00	wymiana
101	2015-01-25 12:04:24	restart
100	2015-01-25 14:42:33	restart
118	2015-01-25 16:59:51	restart
92	2015-01-25 19:04:45	restart
120	2015-01-25 22:44:28	wymiana
124	2015-01-25 23:47:27	restart
91	2015-01-26 01:22:36	wymiana
121	2015-01-26 02:24:29	restart
117	2015-01-26 02:30:44	restart
110	2015-01-26 04:55:55	wymiana
96	2015-01-26 06:23:33	wymiana
99	2015-01-26 06:51:48	restart
136	2015-01-26 08:57:04	wymiana
125	2015-01-26 14:43:17	wymiana
115	2015-01-26 15:39:44	restart
125	2015-01-26 23:21:20	restart
130	2015-01-26 23:28:39	wymiana
139	2015-01-27 01:00:15	restart
105	2015-01-27 02:15:29	restart
100	2015-01-27 04:35:53	wymiana
136	2015-01-27 04:44:50	restart
141	2015-01-27 06:04:43	restart
128	2015-01-27 07:17:51	wymiana
101	2015-01-27 07:47:12	wymiana
133	2015-01-27 08:19:24	restart
127	2015-01-27 10:43:29	wymiana
108	2015-01-27 12:56:08	wymiana
115	2015-01-27 13:56:11	restart
142	2015-01-27 17:17:57	restart
103	2015-01-27 20:17:54	wymiana
145	2015-01-27 22:29:31	wymiana
134	2015-01-28 02:04:46	restart
132	2015-01-28 07:16:24	restart
117	2015-01-28 14:34:30	restart
129	2015-01-28 15:03:53	wymiana
138	2015-01-28 15:21:43	restart
142	2015-01-28 16:27:14	restart
123	2015-01-28 18:52:46	wymiana
114	2015-01-28 21:16:09	wymiana
115	2015-01-28 21:48:52	wymiana
136	2015-01-28 22:32:31	restart
140	2015-01-29 02:23:48	wymiana
143	2015-01-29 05:15:53	wymiana
119	2015-01-29 06:41:27	restart
128	2015-01-29 09:18:17	restart
135	2015-01-29 09:22:29	restart
148	2015-01-29 11:52:15	restart
145	2015-01-29 13:32:34	restart
149	2015-01-29 18:48:07	restart
142	2015-01-29 20:20:34	wymiana
133	2015-01-29 20:30:02	restart
147	2015-01-29 21:34:02	restart
155	2015-01-29 22:26:57	wymiana
131	2015-01-30 03:50:02	wymiana
130	2015-01-30 05:42:13	wymiana
154	2015-01-30 07:29:40	wymiana
125	2015-01-30 08:17:48	wymiana
120	2015-01-30 13:41:02	restart
126	2015-01-30 15:01:29	restart
128	2015-01-30 15:52:49	restart
136	2015-01-30 16:33:20	restart
144	2015-01-30 18:22:59	restart
165	2015-01-30 19:02:06	restart
128	2015-01-30 19:44:19	wymiana
128	2015-01-30 21:15:02	restart
149	2015-01-31 05:52:25	wymiana
167	2015-01-31 06:24:19	wymiana
149	2015-01-31 07:13:18	restart
160	2015-01-31 15:03:13	wymiana
147	2015-01-31 18:26:28	wymiana
161	2015-01-31 23:22:12	wymiana
132	2015-02-01 00:32:22	restart
151	2015-02-01 03:12:21	restart
157	2015-02-01 03:42:45	restart
170	2015-02-01 04:26:20	restart
137	2015-02-01 06:06:53	restart
167	2015-02-01 06:26:30	restart
132	2015-02-01 07:27:36	restart
164	2015-02-01 08:35:03	wymiana
153	2015-02-01 10:57:14	wymiana
163	2015-02-01 13:08:59	restart
136	2015-02-01 13:14:06	restart
157	2015-02-01 13:15:06	restart
142	2015-02-01 15:11:49	restart
182	2015-02-01 16:48:42	wymiana
169	2015-02-01 21:50:07	wymiana
142	2015-02-01 23:01:36	wymiana
177	2015-02-02 00:50:00	restart
171	2015-02-02 03:46:35	restart
150	2015-02-02 05:23:13	restart
167	2015-02-02 05:48:32	wymiana
167	2015-02-02 06:23:14	wymiana
176	2015-02-02 08:21:27	wymiana
168	2015-02-02 08:50:44	wymiana
158	2015-02-02 11:10:18	wymiana
149	2015-02-02 12:14:19	wymiana
183	2015-02-02 13:04:44	restart
158	2015-02-02 18:39:50	wymiana
149	2015-02-02 20:09:20	restart
185	2015-02-03 02:30:38	wymiana
185	2015-02-03 04:21:31	wymiana
184	2015-02-03 06:39:49	restart
152	2015-02-03 07:23:38	restart
177	2015-02-03 08:26:45	restart
157	2015-02-03 09:10:30	wymiana
191	2015-02-03 11:23:16	wymiana
170	2015-02-03 12:00:07	restart
172	2015-02-03 14:11:47	restart
170	2015-02-03 15:50:47	restart
172	2015-02-03 15:53:14	restart
186	2015-02-03 16:06:06	restart
191	2015-02-03 18:01:10	wymiana
170	2015-02-03 20:29:27	restart
146	2015-02-03 20:31:40	restart
164	2015-02-03 23:46:39	restart
190	2015-02-04 01:48:45	wymiana
188	2015-02-04 01:53:12	wymiana
193	2015-02-04 03:11:04	wymiana
157	2015-02-04 04:48:52	wymiana
172	2015-02-04 05:00:41	restart
162	2015-02-04 07:42:23	wymiana
190	2015-02-04 08:43:34	restart
178	2015-02-04 08:56:54	restart
154	2015-02-04 10:42:32	wymiana
193	2015-02-04 15:19:25	restart
164	2015-02-04 15:19:32	wymiana
195	2015-02-04 17:21:42	restart
164	2015-02-04 17:37:06	restart
159	2015-02-04 19:36:36	restart
175	2015-02-04 21:28:03	restart
166	2015-02-05 00:11:36	restart
172	2015-02-05 01:27:47	restart
156	2015-02-05 01:28:10	restart
185	2015-02-05 02:14:54	wymiana
191	2015-02-05 02:20:57	restart
194	2015-02-05 02:35:19	restart
184	2015-02-05 04:05:11	wymiana
200	2015-02-05 05:37:17	wymiana
158	2015-02-05 06:25:48	restart
154	2015-02-05 06:31:32	restart
180	2015-02-05 06:54:58	wymiana
167	2015-02-05 07:14:01	wymiana
174	2015-02-05 07:43:31	wymiana
178	2015-02-05 08:11:05	wymiana
154	2015-02-05 09:51:05	wymiana
168	2015-02-05 10:30:31	restart
173	2015-02-05 14:03:12	restart
172	2015-02-05 14:15:55	wymiana
164	2015-02-05 14:42:49	restart
184	2015-02-05 14:53:28	wymiana
177	2015-02-05 15:42:34	wymiana
194	2015-02-05 18:03:47	restart
198	2015-02-05 21:45:34	wymiana
157	2015-02-05 21:50:06	wymiana
205	2015-02-06 00:06:08	restart
198	2015-02-06 01:02:10	wymiana
199	2015-02-06 02:52:00	wymiana
178	2015-02-06 04:20:13	wymiana
188	2015-02-06 04:53:58	restart
201	2015-02-06 09:17:04	restart
204	2015-02-06 09:41:35	wymiana
187	2015-02-06 11:49:38	restart
181	2015-02-06 12:52:48	wymiana
204	2015-02-06 14:48:13	restart
205	2015-02-06 15:04:05	wymiana
196	2015-02-06 15:23:11	restart
206	2015-02-06 15:26:04	wymiana
200	2015-02-06 16:51:14	wymiana
177	2015-02-06 17:42:19	restart
188	2015-02-06 20:27:09	wymiana
179	2015-02-06 20:27:24	restart
173	2015-02-06 22:26:27	wymiana
194	2015-02-06 22:57:45	restart
183	2015-02-07 00:50:49	restart
189	2015-02-07 01:51:17	wymiana
202	2015-02-07 01:58:31	wymiana
182	2015-02-07 02:45:27	restart
178	2015-02-07 05:05:43	restart
205	2015-02-07 07:16:01	restart
188	2015-02-07 07:18:43	wymiana
210	2015-02-07 08:34:59	restart
205	2015-02-07 09:50:20	wymiana
173	2015-02-07 12:39:03	wymiana
175	2015-02-07 14:10:22	restart
173	2015-02-07 14:37:00	restart
178	2015-02-07 17:28:02	restart
175	2015-02-07 18:06:41	restart
208	2015-02-07 18:19:20	wymiana
191	2015-02-07 21:00:08	wymiana
198	2015-02-07 21:04:01	wymiana
203	2015-02-08 01:14:38	wymiana
192	2015-02-08 05:47:46	restart
190	2015-02-08 13:12:41	wymiana
197	2015-02-08 14:34:17	wymiana
193	2015-02-08 18:38:00	restart
204	2015-02-08 21:56:05	restart
188	2015-02-08 22:00:33	wymiana
224	2015-02-08 22:09:34	restart
191	2015-02-09 04:16:38	restart
212	2015-02-09 06:38:15	restart
221	2015-02-09 12:29:13	restart
218	2015-02-09 14:31:52	restart
228	2015-02-09 16:15:55	restart
194	2015-02-09 17:27:54	wymiana
219	2015-02-10 00:18:40	restart
229	2015-02-10 04:11:22	wymiana
206	2015-02-10 07:15:04	wymiana
211	2015-02-10 07:32:36	restart
223	2015-02-10 12:10:55	restart
216	2015-02-10 13:07:27	wymiana
231	2015-02-10 13:21:06	wymiana
222	2015-02-10 17:40:03	wymiana
230	2015-02-10 19:47:26	wymiana
235	2015-02-11 03:35:38	restart
217	2015-02-11 06:44:35	wymiana
200	2015-02-11 09:15:03	restart
214	2015-02-11 13:43:23	restart
229	2015-02-11 21:04:27	wymiana
229	2015-02-11 23:11:31	restart
207	2015-02-12 03:24:29	wymiana
241	2015-02-12 07:10:32	restart
241	2015-02-12 07:27:07	wymiana
240	2015-02-12 21:24:18	restart
209	2015-02-12 23:18:09	restart
233	2015-02-12 23:48:06	wymiana
212	2015-02-13 00:00:37	restart
246	2015-02-13 03:51:48	wymiana
206	2015-02-13 07:25:56	wymiana
215	2015-02-13 08:37:42	restart
213	2015-02-13 10:19:14	wymiana
223	2015-02-13 15:00:05	restart
232	2015-02-13 15:28:03	restart
234	2015-02-13 18:06:07	restart
226	2015-02-13 20:21:51	wymiana
239	2015-02-13 22:58:05	wymiana
249	2015-02-13 23:09:53	restart
236	2015-02-13 23:12:52	restart
225	2015-02-14 00:10:32	restart
220	2015-02-14 01:35:39	wymiana
217	2015-02-14 04:26:46	wymiana
261	2015-02-14 18:04:26	restart
217	2015-02-14 18:10:12	wymiana
227	2015-02-14 18:18:26	restart
254	2015-02-14 22:31:03	restart
262	2015-02-15 00:28:42	wymiana
242	2015-02-15 00:59:06	wymiana
263	2015-02-15 01:28:12	restart
264	2015-02-15 05:51:37	wymiana
256	2015-02-15 09:54:23	restart
239	2015-02-15 13:51:28	restart
262	2015-02-15 14:38:12	wymiana
255	2015-02-15 14:52:13	restart
251	2015-02-15 16:11:18	wymiana
265	2015-02-15 17:41:40	wymiana
247	2015-02-15 22:21:59	restart
267	2015-02-15 23:00:26	wymiana
237	2015-02-16 03:49:14	wymiana
267	2015-02-16 07:58:07	restart
239	2015-02-16 17:21:27	restart
253	2015-02-16 18:09:46	wymiana
267	2015-02-16 18:18:28	restart
273	2015-02-16 19:32:46	restart
265	2015-02-16 22:41:57	restart
274	2015-02-17 01:00:50	wymiana
254	2015-02-17 03:20:58	restart
270	2015-02-17 04:58:32	restart
263	2015-02-17 05:15:01	restart
250	2015-02-17 06:02:00	restart
248	2015-02-17 08:55:10	restart
238	2015-02-17 15:55:21	restart
276	2015-02-18 01:28:04	restart
277	2015-02-18 03:29:35	restart
260	2015-02-18 05:13:41	wymiana
276	2015-02-18 06:58:46	restart
261	2015-02-18 08:31:31	restart
243	2015-02-18 10:56:30	wymiana
257	2015-02-18 13:14:16	wymiana
239	2015-02-18 13:35:07	wymiana
252	2015-02-18 13:57:51	restart
257	2015-02-18 14:31:08	restart
272	2015-02-18 15:25:04	wymiana
258	2015-02-18 15:30:21	wymiana
239	2015-02-18 15:49:55	wymiana
270	2015-02-18 15:55:55	wymiana
257	2015-02-18 16:23:42	restart
288	2015-02-18 21:44:48	wymiana
243	2015-02-18 21:55:04	restart
245	2015-02-18 23:15:50	wymiana
259	2015-02-19 00:23:33	wymiana
244	2015-02-19 02:04:48	restart
268	2015-02-19 07:00:00	restart
268	2015-02-19 13:09:55	restart
282	2015-02-19 14:51:46	restart
265	2015-02-19 16:39:32	restart
281	2015-02-19 16:54:28	wymiana
288	2015-02-19 18:33:42	restart
293	2015-02-19 21:53:19	wymiana
294	2015-02-19 22:57:24	restart
263	2015-02-19 23:31:47	wymiana
285	2015-02-19 23:53:38	restart
267	2015-02-20 03:11:00	wymiana
248	2015-02-20 04:01:51	wymiana
280	2015-02-20 04:20:48	wymiana
287	2015-02-20 05:23:25	wymiana
276	2015-02-20 05:33:34	restart
276	2015-02-20 07:57:16	restart
261	2015-02-20 11:47:31	wymiana
265	2015-02-20 17:10:52	restart
300	2015-02-20 17:24:39	wymiana
300	2015-02-20 19:18:02	wymiana
301	2015-02-20 19:22:01	restart
268	2015-02-20 20:07:01	wymiana
286	2015-02-20 21:54:38	wymiana
306	2015-02-20 22:10:13	wymiana
278	2015-02-20 23:52:24	restart
298	2015-02-21 00:39:45	restart
261	2015-02-21 01:57:18	wymiana
268	2015-02-21 02:47:58	restart
271	2015-02-21 03:14:20	restart
261	2015-02-21 05:33:55	restart
303	2015-02-21 05:35:23	restart
263	2015-02-21 09:30:14	restart
282	2015-02-21 14:25:09	wymiana
285	2015-02-21 15:26:38	wymiana
263	2015-02-21 17:06:26	wymiana
292	2015-02-21 17:32:22	restart
284	2015-02-21 22:28:51	restart
300	2015-02-21 23:46:40	restart
285	2015-02-21 23:49:45	restart
275	2015-02-22 00:49:52	restart
284	2015-02-22 02:41:13	wymiana
303	2015-02-22 03:16:02	restart
302	2015-02-22 03:44:28	restart
288	2015-02-22 04:45:35	restart
270	2015-02-22 05:05:39	wymiana
286	2015-02-22 07:04:41	wymiana
269	2015-02-22 09:09:51	restart
303	2015-02-22 09:51:04	wymiana
287	2015-02-22 10:13:42	wymiana
295	2015-02-22 10:50:59	restart
266	2015-02-22 11:35:16	wymiana
306	2015-02-22 14:35:01	restart
317	2015-02-22 14:50:45	wymiana
314	2015-02-22 14:59:33	restart
284	2015-02-22 16:54:06	wymiana
267	2015-02-22 16:59:41	wymiana
287	2015-02-22 17:05:04	restart
297	2015-02-22 17:53:01	wymiana
300	2015-02-22 18:01:35	wymiana
318	2015-02-22 18:24:12	wymiana
279	2015-02-22 20:56:02	wymiana
310	2015-02-22 21:41:04	restart
311	2015-02-22 22:03:45	wymiana
310	2015-02-22 22:16:13	wymiana
296	2015-02-22 23:01:47	wymiana
270	2015-02-22 23:37:51	wymiana
290	2015-02-23 01:41:07	wymiana
306	2015-02-23 03:01:22	wymiana
291	2015-02-23 06:00:05	restart
304	2015-02-23 10:40:49	wymiana
313	2015-02-23 13:52:30	wymiana
320	2015-02-23 13:54:08	restart
296	2015-02-23 15:26:20	wymiana
283	2015-02-23 20:11:59	restart
319	2015-02-23 20:47:08	restart
307	2015-02-23 22:11:58	wymiana
316	2015-02-23 23:54:48	wymiana
303	2015-02-24 00:27:31	restart
304	2015-02-24 00:45:35	restart
318	2015-02-24 01:19:49	restart
299	2015-02-24 02:31:36	restart
306	2015-02-24 07:58:25	wymiana
291	2015-02-24 08:24:27	restart
301	2015-02-24 10:12:38	restart
310	2015-02-24 12:14:39	restart
326	2015-02-24 12:35:57	wymiana
305	2015-02-24 12:36:35	wymiana
323	2015-02-24 14:10:32	restart
289	2015-02-24 14:58:21	wymiana
324	2015-02-24 16:41:56	restart
284	2015-02-24 19:06:18	wymiana
300	2015-02-24 19:36:36	restart
304	2015-02-24 19:37:24	restart
317	2015-02-24 21:12:20	wymiana
310	2015-02-24 21:18:45	restart
287	2015-02-24 22:56:53	wymiana
308	2015-02-24 22:58:20	restart
316	2015-02-24 23:41:36	wymiana
324	2015-02-25 02:39:07	wymiana
329	2015-02-25 02:52:25	wymiana
287	2015-02-25 04:41:46	wymiana
303	2015-02-25 07:20:14	restart
337	2015-02-25 09:28:26	wymiana
298	2015-02-25 14:46:47	wymiana
327	2015-02-25 16:06:48	wymiana
340	2015-02-25 18:24:18	restart
304	2015-02-25 19:19:05	wymiana
329	2015-02-25 20:48:48	wymiana
317	2015-02-25 23:38:09	wymiana
297	2015-02-26 02:15:41	wymiana
317	2015-02-26 02:49:41	restart
310	2015-02-26 08:40:40	wymiana
345	2015-02-26 10:55:58	restart
321	2015-02-26 12:25:11	restart
336	2015-02-26 13:59:32	restart
306	2015-02-26 14:09:30	restart
344	2015-02-26 16:04:38	restart
333	2015-02-26 18:25:09	wymiana
332	2015-02-26 19:53:07	wymiana
301	2015-02-26 21:34:44	restart
328	2015-02-26 21:42:09	wymiana
318	2015-02-26 22:37:20	wymiana
339	2015-02-27 00:03:28	restart
330	2015-02-27 02:15:25	wymiana
312	2015-02-27 04:07:55	wymiana
323	2015-02-27 05:34:11	restart
323	2015-02-27 05:51:23	wymiana
318	2015-02-27 09:02:31	restart
334	2015-02-27 11:16:23	restart
347	2015-02-27 14:53:23	restart
324	2015-02-27 15:34:27	restart
316	2015-02-27 15:42:14	wymiana
351	2015-02-27 18:44:25	wymiana
318	2015-02-27 19:10:50	restart
316	2015-02-27 20:47:41	wymiana
346	2015-02-27 20:53:57	wymiana
348	2015-02-27 23:00:57	wymiana
346	2015-02-28 00:56:25	wymiana
322	2015-02-28 01:02:47	restart
349	2015-02-28 04:48:27	restart
357	2015-02-28 07:45:36	wymiana
353	2015-02-28 07:51:23	restart
309	2015-02-28 09:12:58	restart
342	2015-02-28 09:28:43	wymiana
317	2015-02-28 09:42:35	wymiana
329	2015-02-28 13:55:06	wymiana
322	2015-02-28 18:58:17	wymiana
324	2015-02-28 20:20:29	wymiana
316	2015-02-28 22:16:20	restart
361	2015-02-28 22:25:40	restart
347	2015-02-28 23:29:10	restart
351	2015-03-01 01:01:01	wymiana
338	2015-03-01 05:54:49	restart
351	2015-03-01 06:44:38	restart
315	2015-03-01 08:41:00	wymiana
335	2015-03-01 11:31:20	wymiana
325	2015-03-01 14:02:00	restart
364	2015-03-01 17:03:29	restart
335	2015-03-01 20:29:02	wymiana
324	2015-03-01 21:05:38	restart
327	2015-03-01 23:14:49	wymiana
329	2015-03-02 03:22:49	wymiana
376	2015-03-02 03:41:12	restart
375	2015-03-02 07:31:00	wymiana
367	2015-03-02 07:42:37	wymiana
354	2015-03-02 15:32:47	wymiana
331	2015-03-02 16:34:51	wymiana
374	2015-03-02 17:04:19	restart
358	2015-03-02 18:11:49	wymiana
368	2015-03-02 19:20:23	restart
375	2015-03-02 20:08:22	restart
376	2015-03-02 20:41:02	restart
365	2015-03-02 20:44:08	restart
374	2015-03-02 21:32:01	restart
355	2015-03-02 23:25:00	wymiana
351	2015-03-03 01:50:50	wymiana
329	2015-03-03 05:05:19	restart
373	2015-03-03 06:59:35	wymiana
368	2015-03-03 08:24:12	restart
341	2015-03-03 09:20:24	wymiana
362	2015-03-03 10:18:02	restart
380	2015-03-03 10:28:11	restart
371	2015-03-03 10:39:35	restart
350	2015-03-03 12:18:55	restart
346	2015-03-03 14:59:45	restart
375	2015-03-03 17:21:47	wymiana
383	2015-03-03 23:42:35	wymiana
347	2015-03-04 02:11:22	restart
359	2015-03-04 02:26:36	wymiana
342	2015-03-04 08:27:03	wymiana
375	2015-03-04 08:32:21	wymiana
365	2015-03-04 10:18:02	wymiana
382	2015-03-04 10:54:02	restart
366	2015-03-04 11:40:25	restart
343	2015-03-04 12:36:24	wymiana
375	2015-03-04 18:47:39	restart
385	2015-03-05 00:31:49	wymiana
363	2015-03-05 00:51:35	restart
390	2015-03-05 02:22:17	restart
353	2015-03-05 04:56:04	restart
381	2015-03-05 06:53:05	restart
394	2015-03-05 09:42:18	wymiana
352	2015-03-05 09:58:21	wymiana
368	2015-03-05 19:07:10	restart
364	2015-03-05 19:30:11	restart
384	2015-03-06 04:26:51	wymiana
388	2015-03-06 04:56:04	wymiana
382	2015-03-06 05:24:59	wymiana
351	2015-03-06 07:17:21	wymiana
391	2015-03-06 07:37:30	restart
377	2015-03-06 08:25:15	wymiana
376	2015-03-06 12:09:04	wymiana
356	2015-03-06 14:57:20	wymiana
360	2015-03-06 23:55:49	restart
382	2015-03-07 00:34:25	wymiana
384	2015-03-07 04:31:21	wymiana
374	2015-03-07 05:06:17	wymiana
399	2015-03-07 07:58:42	wymiana
380	2015-03-07 08:30:29	wymiana
406	2015-03-07 10:41:19	wymiana
406	2015-03-07 13:08:18	restart
382	2015-03-07 17:11:12	wymiana
401	2015-03-07 18:23:33	wymiana
378	2015-03-07 19:13:39	wymiana
368	2015-03-07 19:14:03	wymiana
400	2015-03-07 22:53:49	restart
364	2015-03-08 04:28:09	restart
406	2015-03-08 05:16:24	wymiana
389	2015-03-08 05:19:18	restart
405	2015-03-08 05:31:35	wymiana
388	2015-03-08 05:57:49	wymiana
369	2015-03-08 06:07:10	wymiana
376	2015-03-08 06:48:52	wymiana
397	2015-03-08 06:57:28	wymiana
372	2015-03-08 07:52:40	restart
403	2015-03-08 08:52:08	wymiana
